frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00022113,-77.4567,dc
1.953316,0.00035368,-73.3774,noise
3.906632,0.00021326,-77.7717,noise
5.859948,0.00019617,-78.4969,noise
7.813264,0.00017402,-79.5376,noise
9.766580,0.00009196,-85.0780,noise
11.719896,0.00023927,-76.7718,noise
13.673212,0.00009950,-84.3928,noise
15.626528,0.00003326,-93.9111,noise
17.579844,0.00006969,-87.4864,noise
19.533160,0.00030120,-74.7726,noise
21.486476,0.00049836,-70.3989,noise
23.439792,0.00028852,-75.1461,noise
25.393108,0.00011680,-83.0007,noise
27.346424,0.00033844,-73.7599,noise
29.299740,0.00036638,-73.0712,noise
31.253056,0.00018586,-78.9661,noise
33.206370,0.00010469,-83.9513,noise
35.159688,0.00018397,-79.0549,noise
37.113004,0.00029968,-74.8167,noise
39.066320,0.00022474,-77.3159,noise
41.019636,0.00012026,-82.7469,noise
42.972950,0.00017294,-79.5918,noise
44.926264,0.00012058,-82.7240,noise
46.879584,0.00027849,-75.4536,noise
48.832900,0.00034238,-73.6595,noise
50.786216,0.00037652,-72.8339,noise
52.739532,0.00015366,-80.6185,noise
54.692850,0.00032664,-74.0684,noise
56.646164,0.00030970,-74.5308,noise
58.599480,0.00020241,-78.2250,noise
60.552796,0.00036801,-73.0325,noise
62.506110,0.00045806,-71.1313,noise
64.459430,0.00026494,-75.8869,noise
66.412740,0.00009644,-84.6644,noise
68.366060,0.00028563,-75.2336,noise
70.319376,0.00018256,-79.1215,noise
72.272690,0.00009978,-84.3687,noise
74.226008,0.00014408,-81.1774,noise
76.179320,0.00020386,-78.1628,noise
78.132640,0.00009363,-84.9213,noise
80.085950,0.00028515,-75.2483,noise
82.039270,0.00034445,-73.6071,noise
83.992584,0.00011277,-83.3054,noise
85.945900,0.00044901,-71.3045,noise
87.899216,0.00034127,-73.6878,noise
89.852530,0.00041982,-71.8885,noise
91.805850,0.00045119,-71.2625,noise
93.759170,0.00032631,-74.0771,noise
95.712490,0.00023995,-76.7474,noise
97.665800,0.00039669,-72.3806,noise
99.619120,0.00053946,-69.7104,noise
101.572430,0.00045775,-71.1370,noise
103.525750,0.00011914,-82.8283,noise
105.479064,0.00020862,-77.9626,noise
107.432380,0.00027153,-75.6734,noise
109.385700,0.00033361,-73.8848,noise
111.339010,0.00039942,-72.3210,noise
113.292330,0.00032275,-74.1724,noise
115.245640,0.00017547,-79.4655,noise
117.198960,0.00012456,-82.4421,noise
119.152268,0.00026920,-75.7481,noise
121.105590,0.00013363,-81.8318,noise
123.058910,0.00016134,-80.1946,noise
125.012220,0.00022101,-77.4616,noise
126.965540,0.00017374,-79.5515,noise
128.918860,0.00028430,-75.2742,noise
130.872180,0.00019412,-78.5882,noise
132.825480,0.00029375,-74.9901,noise
134.778810,0.00023540,-76.9136,noise
136.732120,0.00014469,-81.1409,noise
138.685440,0.00028309,-75.3111,noise
140.638750,0.00013728,-81.5974,noise
142.592070,0.00023444,-76.9490,noise
144.545380,0.00017405,-79.5360,noise
146.498700,0.00030676,-74.6138,noise
148.452010,0.00030479,-74.6697,noise
150.405340,0.00031258,-74.4504,noise
152.358640,0.00015885,-80.3301,noise
154.311960,0.00042742,-71.7326,noise
156.265280,0.00039841,-72.3431,noise
158.218600,0.00062876,-68.3799,noise
160.171900,0.00089469,-65.3162,noise
162.125230,0.00049552,-70.4485,noise
164.078540,0.00018244,-79.1272,noise
166.031860,0.00053488,-69.7846,noise
167.985168,0.00021613,-77.6553,noise
169.938492,0.00020803,-77.9872,noise
171.891800,0.00017997,-79.2457,noise
173.845120,0.00010766,-83.7089,noise
175.798432,0.00044761,-71.3316,noise
177.751760,0.00036575,-73.0859,noise
179.705060,0.00062383,-68.4484,noise
181.658380,0.00029438,-74.9714,noise
183.611700,0.00076813,-66.6410,noise
185.565020,0.00082886,-65.9801,noise
187.518340,0.00050695,-70.2504,noise
189.471652,0.00038055,-72.7414,noise
191.424980,0.00040688,-72.1604,noise
193.378280,0.00061444,-68.5801,noise
195.331600,0.00057340,-69.1805,noise
197.284916,0.00044572,-71.3685,noise
199.238240,0.00034866,-73.5016,noise
201.191540,0.00013942,-81.4630,noise
203.144860,0.00011850,-82.8751,noise
205.098180,0.00024636,-76.5183,noise
207.051500,0.00022521,-77.2980,noise
209.004800,0.00009946,-84.3963,noise
210.958132,0.00030907,-74.5486,noise
212.911440,0.00037293,-72.9172,noise
214.864760,0.00022744,-77.2123,noise
216.818068,0.00021894,-77.5432,noise
218.771400,0.00032306,-74.1639,noise
220.724700,0.00021806,-77.5781,noise
222.678020,0.00043472,-71.5855,noise
224.631340,0.00010364,-84.0390,noise
226.584660,0.00023040,-77.0999,noise
228.537960,0.00032859,-74.0166,noise
230.491280,0.00022119,-77.4543,noise
232.444600,0.00020968,-77.9186,noise
234.397920,0.00018217,-79.1401,guard
236.351220,0.00012459,-82.4402,guard
238.304536,0.00034343,-73.6330,guard
240.257860,0.00044339,-71.4140,guard
242.211180,0.00034894,-73.4947,signal
244.164492,0.00026004,-76.0490,signal
246.117820,0.00006094,-88.6516,signal
248.071120,0.65202532,-8.0644,signal
250.024440,1.30265070,-2.0531,signal
251.977770,0.65067524,-8.0824,signal
253.931080,0.00012019,-82.7524,signal
255.884400,0.00029885,-74.8406,signal
257.837700,0.00019446,-78.5729,signal
259.791020,0.00003665,-93.0674,guard
261.744360,0.00011622,-83.0441,guard
263.697660,0.00024956,-76.4062,guard
265.650960,0.00027532,-75.5529,guard
267.604280,0.00034274,-73.6503,noise
269.557620,0.00036013,-73.2205,noise
271.510920,0.00019109,-78.7251,noise
273.464240,0.00034307,-73.6419,noise
275.417540,0.00051698,-70.0801,noise
277.370880,0.00029986,-74.8113,noise
279.324200,0.00028743,-75.1790,noise
281.277500,0.00038345,-72.6755,noise
283.230800,0.00023977,-76.7537,noise
285.184140,0.00006811,-87.6861,noise
287.137440,0.00018639,-78.9414,noise
289.090760,0.00023473,-76.9384,noise
291.044080,0.00007790,-86.5184,noise
292.997400,0.00011196,-83.3683,noise
294.950700,0.00019987,-78.3349,noise
