sample,time_s,raw_u16,code12,voltage_V
0,0.000058000,47963,2997,2.415166
1,0.000514000,31127,1945,1.567393
2,0.001009000,13603,850,0.684976
3,0.001510000,7313,457,0.368244
4,0.002010000,16115,1007,0.811467
5,0.002509000,34888,2180,1.756777
6,0.003009000,52588,3286,2.648057
7,0.003508000,58958,3684,2.968816
8,0.004008000,50204,3137,2.528011
9,0.004514000,31255,1953,1.573838
10,0.005013000,13539,846,0.681753
11,0.005513000,7329,458,0.369050
12,0.006012000,16115,1007,0.811467
13,0.006513000,35128,2195,1.768862
14,0.007014000,52732,3295,2.655308
15,0.007514000,58958,3684,2.968816
16,0.008013000,49932,3120,2.514314
17,0.008513000,31175,1948,1.569810
18,0.009013000,13427,839,0.676114
19,0.009512000,7265,454,0.365827
20,0.010012000,16131,1008,0.812273
21,0.010511000,34920,2182,1.758388
22,0.011011000,52684,3292,2.652891
23,0.011510000,58942,3683,2.968011
24,0.012010000,50108,3131,2.523177
25,0.012510000,31351,1959,1.578672
26,0.013009000,13603,850,0.684976
27,0.013509000,7313,457,0.368244
28,0.014009000,16115,1007,0.811467
29,0.014508000,34904,2181,1.757583
30,0.015009000,52556,3284,2.646445
31,0.015514000,58878,3679,2.964788
32,0.016014000,49932,3120,2.514314
33,0.016514000,31191,1949,1.570616
34,0.017013000,13555,847,0.682559
35,0.017512000,7345,459,0.369856
36,0.018012000,16195,1012,0.815496
37,0.018512000,35032,2189,1.764028
38,0.019012000,52732,3295,2.655308
39,0.019512000,58958,3684,2.968816
40,0.020011000,50092,3130,2.522371
41,0.020510000,31255,1953,1.573838
42,0.021011000,13523,845,0.680948
43,0.021510000,7297,456,0.367439
44,0.022010000,16115,1007,0.811467
45,0.022510000,34920,2182,1.758388
46,0.023009000,52636,3289,2.650474
47,0.023508000,58958,3684,2.968816
48,0.024014000,49996,3124,2.517537
49,0.024513000,31159,1947,1.569004
50,0.025013000,13491,843,0.679336
51,0.025513000,7345,459,0.369856
52,0.026013000,16211,1013,0.816301
53,0.026512000,35000,2187,1.762417
54,0.027012000,52668,3291,2.652085
55,0.027512000,58894,3680,2.965594
56,0.028012000,50044,3127,2.519954
57,0.028511000,31319,1957,1.577061
58,0.029011000,13603,850,0.684976
59,0.029511000,7345,459,0.369856
60,0.030010000,16131,1008,0.812273
61,0.030510000,34952,2184,1.760000
62,0.031010000,52684,3292,2.652891
63,0.031510000,58958,3684,2.968816
64,0.032009000,50124,3132,2.523982
65,0.032508000,31415,1963,1.581895
66,0.033014000,13475,842,0.678531
67,0.033514000,7361,460,0.370661
68,0.034014000,16275,1017,0.819524
69,0.034513000,35128,2195,1.768862
70,0.035014000,52732,3295,2.655308
71,0.035513000,58958,3684,2.968816
72,0.036013000,50028,3126,2.519148
73,0.036513000,31207,1950,1.571421
74,0.037012000,13475,842,0.678531
75,0.037512000,7249,453,0.365022
76,0.038013000,16179,1011,0.814690
77,0.038512000,34952,2184,1.760000
78,0.039012000,52748,3296,2.656113
79,0.039512000,58942,3683,2.968011
80,0.040012000,50076,3129,2.521566
81,0.040511000,31287,1955,1.575450
82,0.041011000,13571,848,0.683365
83,0.041511000,7313,457,0.368244
84,0.042011000,16195,1012,0.815496
85,0.042512000,35048,2190,1.764834
86,0.043011000,52652,3290,2.651280
87,0.043511000,58878,3679,2.964788
88,0.044011000,50076,3129,2.521566
89,0.044511000,31319,1957,1.577061
90,0.045010000,13619,851,0.685782
91,0.045510000,7329,458,0.369050
92,0.046010000,16147,1009,0.813078
93,0.046510000,34968,2185,1.760806
94,0.047009000,52636,3289,2.650474
95,0.047509000,58974,3685,2.969622
96,0.048008000,50204,3137,2.528011
97,0.048514000,31207,1950,1.571421
98,0.049014000,13443,840,0.676919
99,0.049513000,7313,457,0.368244
100,0.050014000,16259,1016,0.818718
101,0.050513000,35032,2189,1.764028
102,0.051013000,52716,3294,2.654502
103,0.051512000,58926,3682,2.967205
104,0.052012000,50060,3128,2.520760
105,0.052512000,31303,1956,1.576255
106,0.053012000,13571,848,0.683365
107,0.053512000,7361,460,0.370661
108,0.054011000,16195,1012,0.815496
109,0.054512000,35032,2189,1.764028
110,0.055011000,52636,3289,2.650474
111,0.055511000,58862,3678,2.963982
112,0.056011000,50012,3125,2.518343
113,0.056511000,31319,1957,1.577061
114,0.057011000,13555,847,0.682559
115,0.057511000,7217,451,0.363410
116,0.058010000,16115,1007,0.811467
117,0.058510000,34824,2176,1.753555
118,0.059009000,52572,3285,2.647251
119,0.059509000,58894,3680,2.965594
120,0.060008000,50172,3135,2.526400
121,0.060508000,31463,1966,1.584312
122,0.061014000,13555,847,0.682559
123,0.061514000,7345,459,0.369856
