frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00019262,-78.6558,dc
3.906984,0.00018919,-78.8119,noise
7.813968,0.00025796,-76.1188,noise
11.720952,0.00051549,-70.1053,noise
15.627936,0.00045967,-71.1007,noise
19.534920,0.00044102,-71.4605,noise
23.441904,0.00078429,-66.4602,noise
27.348888,0.00066454,-67.8992,noise
31.255872,0.00022128,-77.4509,noise
35.162856,0.00026551,-75.8680,noise
39.069840,0.00066426,-67.9029,noise
42.976824,0.00013910,-81.4828,noise
46.883810,0.00036310,-73.1491,noise
50.790796,0.00010171,-84.2022,noise
54.697776,0.00036381,-73.1321,noise
58.604764,0.00033934,-73.7369,noise
62.511744,0.00052661,-69.9199,noise
66.418730,0.00029503,-74.9524,noise
70.325716,0.00025065,-76.3685,noise
74.232700,0.00034717,-73.5388,noise
78.139680,0.00030544,-74.6512,noise
82.046670,0.00024484,-76.5719,noise
85.953650,0.00020065,-78.3008,noise
89.860632,0.00046774,-70.9495,noise
93.767620,0.00055262,-69.5012,noise
97.674600,0.00031420,-74.4056,noise
101.581590,0.00008164,-86.1121,noise
105.488570,0.00028615,-75.2179,noise
109.395550,0.00012142,-82.6639,noise
113.302536,0.00013024,-82.0551,noise
117.209528,0.00005231,-89.9775,noise
121.116510,0.00002727,-95.6355,noise
125.023490,0.00015536,-80.5226,noise
128.930480,0.00026527,-75.8760,noise
132.837460,0.00044717,-71.3402,noise
136.744440,0.00099392,-64.4027,noise
140.651430,0.00094994,-64.7957,noise
144.558410,0.00069850,-67.4664,noise
148.465400,0.00060792,-68.6727,noise
152.372380,0.00062120,-68.4850,noise
156.279360,0.00075538,-66.7863,noise
160.186340,0.00091819,-65.0910,noise
164.093340,0.00031471,-74.3914,noise
168.000320,0.00058405,-69.0206,noise
171.907300,0.00130319,-62.0495,noise
175.814280,0.00077056,-66.6136,noise
179.721268,0.00035767,-73.2799,noise
183.628252,0.00087253,-65.5340,noise
187.535240,0.00078197,-66.4858,noise
191.442220,0.00049802,-70.4048,noise
195.349200,0.00048413,-70.6504,noise
199.256200,0.00021091,-77.8677,noise
203.163180,0.00024150,-76.6915,noise
207.070160,0.00025302,-76.2865,noise
210.977140,0.00054304,-69.6530,noise
214.884120,0.00072829,-67.1036,noise
218.791100,0.00042510,-71.7798,guard
222.698092,0.00028389,-75.2868,guard
226.605068,0.00012706,-82.2692,guard
230.512060,0.00015086,-80.7783,guard
234.419052,0.00022965,-77.1283,signal
238.326040,0.00011697,-82.9881,signal
242.233020,0.00022591,-77.2710,signal
246.140000,0.65170156,-8.0687,signal
250.046980,1.30271000,-2.0527,signal
253.953960,0.65125680,-8.0746,signal
257.860960,0.00022124,-77.4526,signal
261.767940,0.00007906,-86.3902,signal
265.674920,0.00005478,-89.5769,signal
269.581900,0.00023340,-76.9876,guard
273.488900,0.00038667,-72.6029,guard
277.395880,0.00046161,-71.0641,guard
281.302860,0.00043578,-71.5643,guard
285.209840,0.00012114,-82.6842,noise
289.116820,0.00018311,-79.0955,noise
293.023800,0.00062332,-68.4554,noise
296.930800,0.00040657,-72.1669,noise
300.837760,0.00032760,-74.0428,noise
304.744760,0.00041113,-72.0702,noise
308.651720,0.00026837,-75.7751,noise
312.558720,0.00021755,-77.5984,noise
316.465700,0.00065413,-68.0364,noise
320.372680,0.00058783,-68.9647,noise
324.279700,0.00076123,-66.7194,noise
328.186680,0.00109308,-63.5766,noise
332.093660,0.00071274,-67.2911,noise
336.000640,0.00032045,-74.2344,noise
339.907616,0.00073813,-66.9871,noise
343.814600,0.00041483,-71.9923,noise
347.721600,0.00064346,-68.1792,noise
351.628560,0.00065969,-67.9628,noise
355.535560,0.00017202,-79.6381,noise
359.442532,0.00076915,-66.6294,noise
363.349520,0.00088337,-65.4268,noise
367.256500,0.00018610,-78.9550,noise
371.163480,0.00031638,-74.3456,noise
375.070480,0.00025070,-76.3665,noise
378.977440,0.00011498,-83.1369,noise
382.884440,0.00033946,-73.7340,noise
386.791400,0.00033249,-73.9141,noise
390.698400,0.00021522,-77.6921,noise
394.605400,0.00019595,-78.5069,noise
398.512400,0.00027709,-75.4973,noise
402.419360,0.00026836,-75.7752,noise
406.326360,0.00015199,-80.7134,noise
410.233332,0.00004996,-90.3766,noise
414.140320,0.00007255,-87.1373,noise
418.047300,0.00021247,-77.8038,noise
421.954280,0.00020456,-78.1332,noise
425.861280,0.00023586,-76.8965,noise
429.768240,0.00051210,-70.1626,noise
433.675240,0.00028772,-75.1704,noise
437.582200,0.00027981,-75.4124,noise
441.489200,0.00029179,-75.0483,noise
445.396184,0.00004441,-91.3999,noise
449.303160,0.00012907,-82.1333,noise
453.210136,0.00014370,-81.2003,noise
457.117120,0.00020699,-78.0307,noise
461.024100,0.00054022,-69.6982,noise
464.931120,0.00034966,-73.4768,noise
468.838100,0.00033305,-73.8994,guard
472.745100,0.00038713,-72.5926,guard
476.652080,0.00016523,-79.9877,guard
480.559040,0.00001513,-100.7535,guard
484.466040,0.00011478,-83.1523,harmonic
488.373032,0.00020964,-77.9203,harmonic
492.280000,0.00012116,-82.6822,harmonic
496.186968,0.00050082,-70.3561,harmonic
500.093960,0.00089719,-65.2919,harmonic
504.000960,0.00044800,-71.3240,harmonic
507.907920,0.00007760,-86.5522,harmonic
511.814900,0.00020586,-78.0784,harmonic
515.721900,0.00020101,-78.2851,harmonic
519.628900,0.00022014,-77.4957,guard
523.535900,0.00020125,-78.2749,guard
527.442900,0.00021385,-77.7473,guard
531.349840,0.00027162,-75.6704,guard
535.256840,0.00010198,-84.1792,noise
539.163800,0.00009235,-85.0408,noise
543.070800,0.00008004,-86.2831,noise
546.977800,0.00009684,-84.6288,noise
550.884760,0.00008426,-85.8374,noise
554.791760,0.00013228,-81.9196,noise
558.698700,0.00002819,-95.3464,noise
562.605700,0.00029944,-74.8234,noise
566.512700,0.00049189,-70.5123,noise
570.419700,0.00034467,-73.6017,noise
574.326680,0.00020924,-77.9368,noise
578.233640,0.00015104,-80.7675,noise
582.140600,0.00023006,-77.1129,noise
586.047600,0.00033993,-73.7219,noise
589.954600,0.00013550,-81.7111,noise
593.861600,0.00029030,-75.0928,noise
597.768560,0.00035868,-73.2556,noise
601.675520,0.00021110,-77.8601,noise
605.582500,0.00030525,-74.6566,noise
609.489500,0.00039184,-72.4875,noise
613.396500,0.00034868,-73.5011,noise
617.303480,0.00024979,-76.3981,noise
621.210440,0.00030471,-74.6720,noise
625.117440,0.00028801,-75.1616,noise
629.024400,0.00014853,-80.9133,noise
632.931400,0.00004483,-91.3180,noise
636.838400,0.00013234,-81.9156,noise
640.745360,0.00026680,-75.8260,noise
644.652400,0.00019068,-78.7438,noise
648.559400,0.00013986,-81.4357,noise
652.466400,0.00035828,-73.2652,noise
656.373360,0.00040887,-72.1179,noise
660.280320,0.00028816,-75.1569,noise
664.187300,0.00020233,-78.2284,noise
668.094300,0.00012019,-82.7523,noise
672.001300,0.00003617,-93.1820,noise
675.908240,0.00018567,-78.9751,noise
679.815236,0.00037512,-72.8662,noise
683.722200,0.00034548,-73.5811,noise
687.629200,0.00027192,-75.6609,noise
691.536200,0.00026022,-76.0429,noise
695.443200,0.00037592,-72.8477,noise
699.350160,0.00031132,-74.4856,noise
703.257160,0.00012895,-82.1411,noise
707.164100,0.00033284,-73.9050,noise
711.071100,0.00026810,-75.7838,noise
714.978100,0.00028785,-75.1663,noise
718.885100,0.00008860,-85.4008,guard
722.792080,0.00021604,-77.6591,guard
726.699080,0.00019911,-78.3679,guard
730.606000,0.00023862,-76.7955,guard
734.513000,0.00024197,-76.6745,harmonic
738.420000,0.00025482,-76.2249,harmonic
742.326960,0.00017951,-79.2679,harmonic
746.233920,0.00007971,-86.3198,harmonic
750.140900,0.00031468,-74.3924,harmonic
754.047900,0.00019611,-78.4995,harmonic
757.954900,0.00029728,-74.8864,harmonic
761.861900,0.00043822,-71.5159,harmonic
765.768880,0.00036691,-73.0585,harmonic
769.675840,0.00008771,-85.4889,guard
773.582800,0.00008135,-86.1428,guard
777.489800,0.00014962,-80.8497,guard
781.396800,0.00014001,-81.4263,guard
785.303800,0.00012980,-82.0844,noise
789.210800,0.00012388,-82.4898,noise
793.117800,0.00012136,-82.6683,noise
797.024800,0.00018687,-78.9188,noise
800.931760,0.00022862,-77.1674,noise
804.838680,0.00013656,-81.6434,noise
808.745700,0.00021107,-77.8612,noise
812.652700,0.00028954,-75.1155,noise
816.559700,0.00016795,-79.8460,noise
820.466700,0.00010626,-83.8225,noise
824.373680,0.00015587,-80.4943,noise
828.280680,0.00005588,-89.4044,noise
832.187600,0.00013964,-81.4492,noise
836.094600,0.00025000,-76.3909,noise
840.001600,0.00030008,-74.8049,noise
843.908560,0.00027865,-75.4485,noise
847.815536,0.00014476,-81.1368,noise
851.722520,0.00010956,-83.5569,noise
855.629500,0.00011077,-83.4609,noise
859.536500,0.00020909,-77.9432,noise
863.443500,0.00025511,-76.2151,noise
867.350480,0.00025547,-76.2030,noise
871.257480,0.00022912,-77.1485,noise
875.164400,0.00032886,-74.0094,noise
879.071400,0.00037917,-72.7731,noise
882.978400,0.00036205,-73.1742,noise
