sample,time_s,raw_u16,code12,voltage_V
0,0.000058000,28630,1789,1.441657
1,0.000512000,13443,840,0.676919
2,0.001012000,7281,455,0.366633
3,0.001512000,16211,1013,0.816301
4,0.002013000,35096,2193,1.767251
5,0.002512000,52732,3295,2.655308
6,0.003012000,58926,3682,2.967205
7,0.003512000,50012,3125,2.518343
8,0.004012000,31255,1953,1.573838
9,0.004511000,13539,846,0.681753
10,0.005011000,7265,454,0.365827
11,0.005511000,16147,1009,0.813078
12,0.006011000,35048,2190,1.764834
13,0.006511000,52540,3283,2.645640
14,0.007011000,58926,3682,2.967205
15,0.007511000,50076,3129,2.521566
16,0.008011000,31255,1953,1.573838
17,0.008511000,13555,847,0.682559
18,0.009011000,7313,457,0.368244
19,0.009510000,16227,1014,0.817107
20,0.010010000,35032,2189,1.764028
21,0.010509000,52652,3290,2.651280
22,0.011009000,58926,3682,2.967205
23,0.011509000,50076,3129,2.521566
24,0.012009000,31351,1959,1.578672
25,0.012509000,13619,851,0.685782
26,0.013008000,7361,460,0.370661
27,0.013514000,16275,1017,0.819524
28,0.014013000,35128,2195,1.768862
29,0.014513000,52700,3293,2.653696
30,0.015012000,58958,3684,2.968816
31,0.015513000,49948,3121,2.515120
32,0.016012000,31175,1948,1.569810
33,0.016512000,13523,845,0.680948
34,0.017013000,7361,460,0.370661
35,0.017513000,16275,1017,0.819524
36,0.018013000,35112,2194,1.768057
37,0.018513000,52796,3299,2.658530
38,0.019012000,58894,3680,2.965594
39,0.019511000,50028,3126,2.519148
40,0.020011000,31207,1950,1.571421
41,0.020510000,13507,844,0.680142
42,0.021010000,7329,458,0.369050
43,0.021510000,16195,1012,0.815496
44,0.022009000,35000,2187,1.762417
45,0.022509000,52636,3289,2.650474
46,0.023010000,58878,3679,2.964788
47,0.023509000,50044,3127,2.519954
48,0.024009000,31335,1958,1.577867
49,0.024514000,13459,841,0.677725
50,0.025014000,7409,463,0.373079
51,0.025514000,16355,1022,0.823552
52,0.026013000,35240,2202,1.774502
53,0.026514000,52764,3297,2.656919
54,0.027013000,58910,3681,2.966400
55,0.027512000,49916,3119,2.513509
56,0.028012000,31143,1946,1.568199
57,0.028512000,13475,842,0.678531
58,0.029011000,7281,455,0.366633
59,0.029510000,16179,1011,0.814690
60,0.030011000,34952,2184,1.760000
61,0.030510000,52684,3292,2.652891
62,0.031010000,58862,3678,2.963982
63,0.031510000,50028,3126,2.519148
64,0.032010000,31239,1952,1.573033
65,0.032510000,13555,847,0.682559
66,0.033011000,7297,456,0.367439
67,0.033510000,16179,1011,0.814690
68,0.034010000,35032,2189,1.764028
69,0.034510000,52684,3292,2.652891
70,0.035010000,58942,3683,2.968011
71,0.035509000,50140,3133,2.524788
72,0.036010000,31303,1956,1.576255
73,0.036509000,13635,852,0.686587
74,0.037010000,7265,454,0.365827
75,0.037510000,16179,1011,0.814690
76,0.038010000,34968,2185,1.760806
77,0.038509000,52652,3290,2.651280
78,0.039008000,58830,3676,2.962371
79,0.039509000,50140,3133,2.524788
80,0.040009000,31239,1952,1.573033
81,0.040508000,13603,850,0.684976
82,0.041014000,7345,459,0.369856
83,0.041514000,16291,1018,0.820330
84,0.042014000,35192,2199,1.772085
85,0.042514000,52796,3299,2.658530
86,0.043013000,58942,3683,2.968011
87,0.043514000,49964,3122,2.515926
88,0.044013000,31223,1951,1.572227
89,0.044512000,13523,845,0.680948
90,0.045012000,7377,461,0.371467
91,0.045512000,16275,1017,0.819524
92,0.046012000,35112,2194,1.768057
93,0.046511000,52780,3298,2.657725
94,0.047011000,58942,3683,2.968011
95,0.047511000,49980,3123,2.516732
96,0.048011000,31287,1955,1.575450
97,0.048511000,13571,848,0.683365
98,0.049010000,7313,457,0.368244
99,0.049510000,16211,1013,0.816301
100,0.050009000,34920,2182,1.758388
101,0.050508000,52588,3286,2.648057
102,0.051008000,58910,3681,2.966400
103,0.051514000,49932,3120,2.514314
104,0.052014000,31127,1945,1.567393
105,0.052514000,13475,842,0.678531
106,0.053013000,7345,459,0.369856
107,0.053513000,16291,1018,0.820330
108,0.054012000,35064,2191,1.765640
109,0.054513000,52668,3291,2.652085
110,0.055012000,58878,3679,2.964788
111,0.055512000,49980,3123,2.516732
112,0.056012000,31207,1950,1.571421
113,0.056511000,13539,846,0.681753
114,0.057010000,7313,457,0.368244
115,0.057510000,16291,1018,0.820330
116,0.058010000,35000,2187,1.762417
117,0.058509000,52700,3293,2.653696
118,0.059010000,58894,3680,2.965594
119,0.059510000,50076,3129,2.521566
120,0.060009000,31319,1957,1.577061
121,0.060509000,13571,848,0.683365
122,0.061008000,7345,459,0.369856
123,0.061508000,16147,1009,0.813078
124,0.062014000,35176,2198,1.771279
125,0.062514000,52828,3301,2.660142
