frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
308.651720,0.00046881,-70.9296,noise
310.605220,0.00040914,-72.1123,noise
312.558720,0.00025629,-76.1752,noise
314.512200,0.00014423,-81.1686,noise
316.465700,0.00004732,-90.8489,noise
318.419200,0.00029918,-74.8311,noise
320.372680,0.00061375,-68.5898,noise
322.326200,0.00088885,-65.3731,noise
324.279700,0.00105726,-63.8660,noise
326.233200,0.00110419,-63.4888,noise
328.186680,0.00097561,-64.5641,noise
330.140160,0.00058760,-68.9680,noise
332.093660,0.00018507,-79.0028,noise
334.047160,0.00034883,-73.4973,noise
336.000640,0.00026879,-75.7615,noise
337.954120,0.00008537,-85.7239,noise
339.907616,0.00024742,-76.4808,noise
341.861100,0.00037182,-72.9430,noise
343.814600,0.00050752,-70.2407,noise
345.768100,0.00063497,-68.2946,noise
347.721600,0.00065157,-68.0704,noise
349.675080,0.00049079,-70.5318,noise
351.628560,0.00023259,-77.0179,noise
353.582036,0.00005888,-88.9503,noise
355.535560,0.00005011,-90.3518,noise
357.489040,0.00009660,-84.6502,noise
359.442532,0.00013398,-81.8092,noise
361.396040,0.00020961,-77.9213,noise
363.349520,0.00030424,-74.6852,noise
365.303000,0.00032137,-74.2097,noise
367.256500,0.00028363,-75.2947,noise
369.210000,0.00037699,-72.8232,noise
371.163480,0.00048951,-70.5545,noise
373.116960,0.00047787,-70.7635,noise
375.070480,0.00039345,-72.4518,noise
377.023960,0.00033681,-73.8021,noise
378.977440,0.00028853,-75.1457,noise
380.930936,0.00018204,-79.1461,noise
382.884440,0.00003808,-92.7347,noise
384.837920,0.00007937,-86.3563,noise
386.791400,0.00012060,-82.7224,noise
388.744900,0.00010193,-84.1837,noise
390.698400,0.00008733,-85.5260,noise
392.651900,0.00008394,-85.8703,noise
394.605400,0.00017404,-79.5365,noise
396.558900,0.00037154,-72.9495,noise
398.512400,0.00051268,-70.1528,noise
400.465880,0.00051180,-70.1677,noise
402.419360,0.00040968,-72.1007,noise
404.372868,0.00029606,-74.9222,noise
406.326360,0.00016014,-80.2598,noise
408.279840,0.00003906,-92.5152,noise
410.233332,0.00021007,-77.9026,noise
412.186840,0.00031601,-74.3557,noise
414.140320,0.00033354,-73.8866,noise
416.093800,0.00028558,-75.2350,noise
418.047300,0.00020737,-78.0148,noise
420.000800,0.00013966,-81.4481,noise
421.954280,0.00016981,-79.7503,noise
423.907768,0.00024422,-76.5942,noise
425.861280,0.00027593,-75.5336,noise
427.814760,0.00027993,-75.4086,noise
429.768240,0.00026941,-75.7415,noise
431.721736,0.00019983,-78.3363,noise
433.675240,0.00011191,-83.3721,noise
435.628720,0.00022516,-77.2999,noise
437.582200,0.00035239,-73.4093,noise
439.535700,0.00039272,-72.4680,noise
441.489200,0.00035798,-73.2724,noise
443.442700,0.00028026,-75.3986,noise
445.396184,0.00018117,-79.1879,noise
447.349680,0.00007534,-86.8090,noise
449.303160,0.00003937,-92.4469,noise
451.256640,0.00009413,-84.8747,noise
453.210136,0.00009831,-84.4974,noise
455.163640,0.00011764,-82.9389,noise
457.117120,0.00013973,-81.4439,noise
459.070632,0.00013072,-82.0231,noise
461.024100,0.00015760,-80.3987,noise
462.977600,0.00020213,-78.2372,noise
464.931120,0.00022509,-77.3026,noise
466.884600,0.00023940,-76.7672,noise
468.838100,0.00026195,-75.9852,noise
470.791600,0.00032678,-74.0645,noise
472.745100,0.00043506,-71.5787,noise
474.698584,0.00052277,-69.9835,noise
476.652080,0.00053173,-69.8359,noise
478.605560,0.00045741,-71.1435,noise
480.559040,0.00034286,-73.6473,noise
482.512536,0.00024304,-76.6361,noise
484.466040,0.00018914,-78.8141,guard
486.419520,0.00015824,-80.3635,guard
488.373032,0.00013022,-82.0564,guard
490.326500,0.00013884,-81.4996,guard
492.280000,0.00015908,-80.3176,harmonic
494.233500,0.00019279,-78.6479,harmonic
496.186968,0.00029352,-74.9968,harmonic
498.140480,0.00039890,-72.3324,harmonic
500.093960,0.00043184,-71.6433,harmonic
502.047440,0.00035627,-73.3142,harmonic
504.000960,0.00019888,-78.3781,harmonic
505.954440,0.00019434,-78.5787,harmonic
507.907920,0.00032189,-74.1955,harmonic
509.861416,0.00032666,-74.0679,guard
511.814900,0.00022302,-77.3828,guard
513.768440,0.00018113,-79.1900,guard
515.721900,0.00022145,-77.4442,guard
517.675400,0.00022301,-77.3834,noise
519.628900,0.00021272,-77.7936,noise
521.582400,0.00019636,-78.4886,noise
523.535900,0.00014671,-81.0204,noise
525.489400,0.00011153,-83.4015,noise
527.442900,0.00013969,-81.4462,noise
529.396360,0.00016251,-80.1322,noise
531.349840,0.00014972,-80.8443,noise
533.303320,0.00018998,-78.7755,noise
535.256840,0.00030925,-74.5434,noise
537.210300,0.00039770,-72.3586,noise
539.163800,0.00041063,-72.0806,noise
541.117300,0.00037303,-72.9149,noise
543.070800,0.00033207,-73.9251,noise
545.024300,0.00030699,-74.6071,noise
546.977800,0.00028004,-75.4052,noise
548.931300,0.00023585,-76.8969,noise
550.884760,0.00018621,-78.9495,noise
552.838240,0.00013927,-81.4724,noise
554.791760,0.00006751,-87.7618,noise
556.745240,0.00003567,-93.3025,noise
558.698700,0.00012458,-82.4406,noise
560.652200,0.00017163,-79.6577,noise
562.605700,0.00018540,-78.9873,noise
564.559200,0.00016905,-79.7896,noise
566.512700,0.00013437,-81.7835,noise
568.466200,0.00012093,-82.6990,noise
570.419700,0.00010236,-84.1467,noise
572.373160,0.00004795,-90.7347,noise
574.326680,0.00002090,-97.9472,noise
576.280160,0.00007574,-86.7632,noise
578.233640,0.00010689,-83.7713,noise
580.187160,0.00012569,-82.3636,noise
582.140600,0.00018619,-78.9504,noise
584.094100,0.00027963,-75.4179,noise
586.047600,0.00033465,-73.8580,noise
588.001100,0.00031154,-74.4793,noise
589.954600,0.00022517,-77.2996,noise
591.908100,0.00012032,-82.7427,noise
593.861600,0.00003737,-92.8988,noise
595.815080,0.00007888,-86.4107,noise
597.768560,0.00017669,-79.4055,noise
599.722040,0.00027066,-75.7012,noise
601.675520,0.00031719,-74.3234,noise
603.629000,0.00029988,-74.8108,noise
605.582500,0.00025466,-76.2304,noise
607.536000,0.00022112,-77.4570,noise
609.489500,0.00018202,-79.1472,noise
611.443000,0.00012356,-82.5119,noise
613.396500,0.00007592,-86.7430,noise
615.350000,0.00008558,-85.7018,noise
617.303480,0.00017900,-79.2927,noise
619.256960,0.00028965,-75.1123,noise
621.210440,0.00034301,-73.6435,noise
623.163920,0.00030790,-74.5816,noise
625.117440,0.00021796,-77.5822,noise
627.070900,0.00015178,-80.7256,noise
629.024400,0.00016271,-80.1214,noise
630.977900,0.00021655,-77.6384,noise
632.931400,0.00028623,-75.2154,noise
634.884900,0.00035202,-73.4184,noise
636.838400,0.00038483,-72.6444,noise
638.791900,0.00037079,-72.9672,noise
640.745360,0.00032646,-74.0731,noise
642.698840,0.00027852,-75.4525,noise
644.652400,0.00023394,-76.9677,noise
646.605900,0.00018038,-79.2259,noise
648.559400,0.00011156,-83.3996,noise
650.512900,0.00006177,-88.5337,noise
652.466400,0.00013151,-81.9706,noise
654.419840,0.00022386,-77.3502,noise
656.373360,0.00026158,-75.9974,noise
658.326840,0.00022656,-77.2459,noise
660.280320,0.00016758,-79.8653,noise
662.233800,0.00013315,-81.8630,noise
664.187300,0.00012477,-82.4273,noise
666.140800,0.00019029,-78.7615,noise
668.094300,0.00027405,-75.5932,noise
670.047800,0.00029716,-74.8900,noise
672.001300,0.00025532,-76.2081,noise
673.954800,0.00022748,-77.2110,noise
675.908240,0.00026300,-75.9505,noise
677.861760,0.00027808,-75.4664,noise
679.815236,0.00025939,-76.0705,noise
681.768720,0.00026486,-75.8895,noise
683.722200,0.00023875,-76.7906,noise
685.675700,0.00013032,-82.0494,noise
687.629200,0.00014822,-80.9315,noise
689.582700,0.00025620,-76.1782,noise
691.536200,0.00025387,-76.2576,noise
693.489700,0.00016186,-80.1669,noise
695.443200,0.00012245,-82.5908,noise
697.396680,0.00018940,-78.8021,noise
699.350160,0.00022652,-77.2477,noise
701.303680,0.00021069,-77.8768,noise
703.257160,0.00017632,-79.4235,noise
705.210640,0.00016239,-80.1383,noise
707.164100,0.00016684,-79.9036,noise
709.117600,0.00016938,-79.7724,noise
711.071100,0.00016676,-79.9079,noise
713.024600,0.00017976,-79.2556,noise
714.978100,0.00022064,-77.4759,noise
716.931600,0.00026430,-75.9078,noise
718.885100,0.00026545,-75.8699,noise
720.838520,0.00020056,-78.3048,noise
722.792080,0.00011229,-83.3426,noise
724.745520,0.00008116,-86.1633,noise
726.699080,0.00004327,-91.6250,noise
728.652500,0.00007448,-86.9090,noise
730.606000,0.00021201,-77.8227,noise
732.559500,0.00032006,-74.2452,noise
734.513000,0.00036260,-73.1611,guard
736.466500,0.00033698,-73.7976,guard
738.420000,0.00026376,-75.9254,guard
740.373500,0.00017697,-79.3919,guard
742.326960,0.00012151,-82.6577,harmonic
744.280480,0.00007959,-86.3329,harmonic
746.233920,0.00012944,-82.1082,harmonic
748.187440,0.00035467,-73.3532,harmonic
750.140900,0.00051984,-70.0322,harmonic
752.094400,0.00048307,-70.6695,harmonic
754.047900,0.00025500,-76.2190,harmonic
756.001400,0.00001821,-99.1418,harmonic
757.954900,0.00018852,-78.8424,harmonic
759.908400,0.00021683,-77.6275,guard
761.861900,0.00016148,-80.1873,guard
763.815320,0.00011463,-83.1636,guard
765.768880,0.00014033,-81.4064,guard
767.722336,0.00018640,-78.9406,noise
769.675840,0.00020437,-78.1415,noise
771.629360,0.00018955,-78.7951,noise
773.582800,0.00015438,-80.5778,noise
775.536300,0.00017918,-79.2839,noise
777.489800,0.00030857,-74.5626,noise
779.443300,0.00040243,-72.2560,noise
781.396800,0.00038084,-72.7347,noise
783.350300,0.00027577,-75.5387,noise
785.303800,0.00017762,-79.3600,noise
787.257300,0.00014555,-81.0897,noise
789.210800,0.00016284,-80.1147,noise
791.164300,0.00018097,-79.1977,noise
793.117800,0.00020704,-78.0285,noise
795.071300,0.00026147,-76.0011,noise
797.024800,0.00030865,-74.5603,noise
798.978300,0.00033291,-73.9032,noise
800.931760,0.00035770,-73.2794,noise
802.885320,0.00039178,-72.4888,noise
804.838680,0.00041122,-72.0681,noise
806.792240,0.00038530,-72.6336,noise
808.745700,0.00031576,-74.3626,noise
810.699200,0.00025455,-76.2341,noise
812.652700,0.00026831,-75.7770,noise
814.606200,0.00034385,-73.6224,noise
816.559700,0.00040122,-72.2820,noise
818.513200,0.00039016,-72.5248,noise
820.466700,0.00031592,-74.3581,noise
822.420160,0.00021429,-77.7297,noise
824.373680,0.00011656,-83.0185,noise
826.327120,0.00009839,-84.4907,noise
828.280680,0.00017617,-79.4309,noise
830.234160,0.00019564,-78.5204,noise
832.187600,0.00012467,-82.4344,noise
834.141100,0.00015535,-80.5234,noise
836.094600,0.00026600,-75.8521,noise
838.048100,0.00027148,-75.6748,noise
840.001600,0.00017391,-79.5431,noise
841.955100,0.00007551,-86.7899,noise
843.908560,0.00006040,-88.7291,noise
845.862080,0.00007674,-86.6487,noise
847.815536,0.00012447,-82.4481,noise
849.769040,0.00014147,-81.3362,noise
851.722520,0.00013714,-81.6062,noise
853.676000,0.00016459,-80.0217,noise
855.629500,0.00017660,-79.4101,noise
857.583000,0.00013985,-81.4365,noise
859.536500,0.00008919,-85.3431,noise
861.490000,0.00006915,-87.5536,noise
863.443500,0.00006787,-87.7156,noise
865.397000,0.00005323,-89.8265,noise
867.350480,0.00004086,-92.1234,noise
869.303936,0.00005104,-90.1917,noise
871.257480,0.00007799,-86.5094,noise
873.210960,0.00012890,-82.1443,noise
875.164400,0.00015214,-80.7050,noise
877.117900,0.00012527,-82.3926,noise
879.071400,0.00008077,-86.2051,noise
881.024900,0.00005484,-89.5679,noise
882.978400,0.00003869,-92.5985,noise
884.931900,0.00005197,-90.0345,noise
886.885400,0.00010680,-83.7783,noise
888.838840,0.00014503,-81.1205,noise
890.792368,0.00014519,-81.1107,noise
892.745840,0.00012986,-82.0800,noise
