sample,time_s,raw_u16,code12,voltage_V
168,0.084012000,49580,3098,2.496590
169,0.084512000,53869,3366,2.712561
170,0.085012000,46107,2881,2.321708
171,0.085512000,30743,1921,1.548057
172,0.086011000,16772,1048,0.844550
173,0.086511000,12435,777,0.626162
174,0.087011000,20196,1262,1.016965
175,0.087510000,35608,2225,1.793033
176,0.088011000,49612,3100,2.498201
177,0.088510000,53949,3371,2.716590
178,0.089010000,46155,2884,2.324124
179,0.089510000,30791,1924,1.550474
180,0.090009000,16788,1049,0.845356
181,0.090509000,12403,775,0.624550
182,0.091009000,20180,1261,1.016159
183,0.091508000,35528,2220,1.789004
184,0.092014000,49612,3100,2.498201
185,0.092508000,53885,3367,2.713367
186,0.093014000,46107,2881,2.321708
187,0.093513000,30631,1914,1.542417
188,0.094013000,16724,1045,0.842133
189,0.094513000,12403,775,0.624550
190,0.095013000,20228,1264,1.018576
191,0.095513000,35608,2225,1.793033
192,0.096013000,49644,3102,2.499812
193,0.096512000,53917,3369,2.714978
194,0.097012000,46075,2879,2.320096
195,0.097512000,30695,1918,1.545640
196,0.098012000,16692,1043,0.840522
197,0.098512000,12339,771,0.621328
198,0.099013000,20228,1264,1.018576
199,0.099513000,35704,2231,1.797867
200,0.100012000,49500,3093,2.492561
201,0.100512000,53901,3368,2.714173
202,0.101011000,46091,2880,2.320902
203,0.101511000,30695,1918,1.545640
204,0.102011000,16788,1049,0.845356
205,0.102511000,12451,778,0.626967
206,0.103010000,20196,1262,1.016965
207,0.103510000,35560,2222,1.790616
208,0.104010000,49564,3097,2.495784
209,0.104509000,53869,3366,2.712561
210,0.105009000,46139,2883,2.323319
211,0.105509000,30775,1923,1.549668
212,0.106009000,16724,1045,0.842133
213,0.106508000,12323,770,0.620522
214,0.107014000,20276,1267,1.020993
215,0.107514000,35688,2230,1.797061
216,0.108014000,49612,3100,2.498201
217,0.108514000,53933,3370,2.715784
218,0.109013000,46107,2881,2.321708
219,0.109513000,30663,1916,1.544028
220,0.110012000,16740,1046,0.842939
221,0.110512000,12435,777,0.626162
222,0.111012000,20212,1263,1.017771
223,0.111512000,35656,2228,1.795450
224,0.112012000,49644,3102,2.499812
225,0.112512000,53917,3369,2.714978
226,0.113012000,46091,2880,2.320902
227,0.113511000,30727,1920,1.547251
228,0.114011000,16724,1045,0.842133
229,0.114510000,12355,772,0.622133
230,0.115010000,20132,1258,1.013742
231,0.115509000,35608,2225,1.793033
232,0.116009000,49516,3094,2.493367
233,0.116508000,53933,3370,2.715784
234,0.117009000,46155,2884,2.324124
235,0.117508000,30807,1925,1.551279
236,0.118008000,16788,1049,0.845356
237,0.118514000,12371,773,0.622939
238,0.119014000,20196,1262,1.016965
239,0.119514000,35656,2228,1.795450
240,0.120013000,49644,3102,2.499812
241,0.120513000,53949,3371,2.716590
242,0.121012000,46059,2878,2.319290
243,0.121513000,30647,1915,1.543223
244,0.122012000,16740,1046,0.842939
245,0.122512000,12355,772,0.622133
246,0.123011000,20180,1261,1.016159
247,0.123511000,35512,2219,1.788199
248,0.124011000,49548,3096,2.494978
249,0.124510000,53901,3368,2.714173
250,0.125011000,46123,2882,2.322513
251,0.125510000,30775,1923,1.549668
252,0.126009000,16804,1050,0.846162
253,0.126510000,12403,775,0.624550
254,0.127009000,20132,1258,1.013742
255,0.127508000,35496,2218,1.787393
256,0.128008000,49532,3095,2.494172
257,0.128509000,53869,3366,2.712561
258,0.129008000,46203,2887,2.326542
259,0.129514000,30583,1911,1.540000
260,0.130014000,16692,1043,0.840522
261,0.130514000,12387,774,0.623745
262,0.131014000,20244,1265,1.019382
263,0.131513000,35688,2230,1.797061
264,0.132013000,49580,3098,2.496590
265,0.132512000,53917,3369,2.714978
266,0.133012000,46075,2879,2.320096
267,0.133512000,30423,1901,1.531943
268,0.134012000,16692,1043,0.840522
269,0.134513000,12355,772,0.622133
270,0.135012000,20212,1263,1.017771
271,0.135512000,35704,2231,1.797867
272,0.136012000,49596,3099,2.497395
273,0.136512000,53949,3371,2.716590
274,0.137012000,46075,2879,2.320096
275,0.137512000,30631,1914,1.542417
276,0.138011000,16644,1040,0.838105
277,0.138511000,12339,771,0.621328
278,0.139011000,20148,1259,1.014548
279,0.139511000,35528,2220,1.789004
280,0.140010000,49564,3097,2.495784
281,0.140510000,53869,3366,2.712561
282,0.141010000,46075,2879,2.320096
283,0.141509000,30807,1925,1.551279
284,0.142009000,16804,1050,0.846162
285,0.142509000,12387,774,0.623745
286,0.143009000,20180,1261,1.016159
287,0.143508000,35496,2218,1.787393
288,0.144009000,49500,3093,2.492561
289,0.144509000,53869,3366,2.712561
290,0.145009000,46123,2882,2.322513
291,0.145508000,30807,1925,1.551279
292,0.146008000,16804,1050,0.846162
293,0.146514000,12451,778,0.626967
294,0.147014000,20260,1266,1.020188
295,0.147514000,35736,2233,1.799478
296,0.148014000,49628,3101,2.499006
297,0.148514000,53837,3364,2.710950
298,0.149013000,46043,2877,2.318485
299,0.149513000,30695,1918,1.545640
300,0.150012000,16692,1043,0.840522
301,0.150513000,12435,777,0.626162
302,0.151012000,20260,1266,1.020188
303,0.151512000,35656,2228,1.795450
304,0.152011000,49596,3099,2.497395
305,0.152511000,53917,3369,2.714978
306,0.153011000,46123,2882,2.322513
307,0.153511000,30711,1919,1.546445
308,0.154011000,16724,1045,0.842133
309,0.154511000,12355,772,0.622133
310,0.155011000,20164,1260,1.015354
311,0.155511000,35576,2223,1.791421
312,0.156011000,49580,3098,2.496590
313,0.156511000,53869,3366,2.712561
314,0.157010000,46091,2880,2.320902
315,0.157510000,30743,1921,1.548057
316,0.158009000,16740,1046,0.842939
317,0.158509000,12355,772,0.622133
318,0.159008000,20036,1252,1.008908
319,0.159508000,35528,2220,1.789004
320,0.160014000,49660,3103,2.500618
321,0.160514000,53933,3370,2.715784
322,0.161013000,46059,2878,2.319290
323,0.161513000,30631,1914,1.542417
324,0.162013000,16724,1045,0.842133
325,0.162513000,12419,776,0.625356
326,0.163013000,20196,1262,1.016965
327,0.163513000,35704,2231,1.797867
328,0.164013000,49660,3103,2.500618
329,0.164512000,53965,3372,2.717395
330,0.165012000,46107,2881,2.321708
331,0.165512000,30743,1921,1.548057
