sample,time_s,raw_u16,code12,voltage_V
169,0.084513000,53212,3325,2.679478
170,0.085013000,35816,2238,1.803506
171,0.085512000,16836,1052,0.847773
172,0.086012000,7393,462,0.372273
173,0.086512000,13043,815,0.656777
174,0.087011000,30359,1897,1.528720
175,0.087511000,49356,3084,2.485310
176,0.088011000,58846,3677,2.963177
177,0.088511000,53325,3332,2.685168
178,0.089011000,35944,2246,1.809952
179,0.089510000,16948,1059,0.853413
180,0.090010000,7441,465,0.374690
181,0.090510000,12979,811,0.653555
182,0.091009000,30279,1892,1.524692
183,0.091509000,49260,3078,2.480476
184,0.092009000,58894,3680,2.965594
185,0.092509000,53293,3330,2.683557
186,0.093008000,35992,2249,1.812369
187,0.093514000,16820,1051,0.846967
188,0.094008000,7409,463,0.373079
189,0.094514000,13043,815,0.656777
190,0.095014000,30503,1906,1.535972
191,0.095514000,49468,3091,2.490950
192,0.096014000,58878,3679,2.964788
193,0.096513000,53228,3326,2.680284
194,0.097013000,35864,2241,1.805923
195,0.097513000,16820,1051,0.846967
196,0.098013000,7345,459,0.369856
197,0.098512000,13011,813,0.655166
198,0.099012000,30423,1901,1.531943
199,0.099511000,49308,3081,2.482893
200,0.100010000,58798,3674,2.960760
201,0.100511000,53261,3328,2.681946
202,0.101010000,35896,2243,1.807535
203,0.101510000,16900,1056,0.850996
204,0.102010000,7409,463,0.373079
205,0.102510000,12963,810,0.652749
206,0.103009000,30215,1888,1.521470
207,0.103510000,49228,3076,2.478865
208,0.104009000,58846,3677,2.963177
209,0.104510000,53357,3334,2.686780
210,0.105009000,36072,2254,1.816397
211,0.105509000,16980,1061,0.855024
212,0.106009000,7425,464,0.373884
213,0.106508000,12899,806,0.649526
214,0.107014000,30551,1909,1.538389
215,0.107514000,49388,3086,2.486922
216,0.108008000,58830,3676,2.962371
217,0.108514000,53164,3322,2.677061
218,0.109014000,35880,2242,1.806729
219,0.109514000,16772,1048,0.844550
220,0.110014000,7345,459,0.369856
221,0.110513000,13011,813,0.655166
222,0.111013000,30391,1899,1.530332
223,0.111512000,49404,3087,2.487727
224,0.112012000,58910,3681,2.966400
225,0.112512000,53261,3328,2.681946
226,0.113012000,35944,2246,1.809952
227,0.113512000,16852,1053,0.848579
228,0.114011000,7409,463,0.373079
229,0.114511000,12963,810,0.652749
230,0.115011000,30247,1890,1.523081
231,0.115510000,49308,3081,2.482893
232,0.116010000,58878,3679,2.964788
233,0.116509000,53325,3332,2.685168
234,0.117009000,36088,2255,1.817203
235,0.117509000,16996,1062,0.855830
236,0.118009000,7361,460,0.370661
237,0.118510000,12899,806,0.649526
238,0.119009000,30231,1889,1.522275
239,0.119508000,49196,3074,2.477253
240,0.120014000,58798,3674,2.960760
241,0.120513000,53244,3327,2.681089
242,0.121014000,35848,2240,1.805118
243,0.121513000,16916,1057,0.851801
244,0.122012000,7409,463,0.373079
245,0.122513000,13043,815,0.656777
246,0.123013000,30375,1898,1.529526
247,0.123512000,49372,3085,2.486116
248,0.124013000,58814,3675,2.961566
249,0.124512000,53277,3329,2.682751
250,0.125012000,35976,2248,1.811563
251,0.125512000,16900,1056,0.850996
252,0.126011000,7457,466,0.375496
253,0.126511000,12979,811,0.653555
254,0.127010000,30359,1897,1.528720
255,0.127510000,49292,3080,2.482087
