sample,time_s,raw_u16,code12,voltage_V
0,0.000059000,55197,3449,2.779432
1,0.000511000,41706,2606,2.100096
2,0.001013000,21733,1358,1.094360
3,0.001513000,8642,540,0.435166
4,0.002012000,9826,614,0.494786
5,0.002512000,24646,1540,1.241044
6,0.003011000,44426,2776,2.237061
7,0.003512000,57582,3598,2.899528
8,0.004012000,56381,3523,2.839052
9,0.004511000,41690,2605,2.099290
10,0.005010000,21925,1370,1.104028
11,0.005511000,8722,545,0.439194
12,0.006010000,9842,615,0.495592
13,0.006509000,24533,1533,1.235354
14,0.007009000,44410,2775,2.236256
15,0.007509000,57518,3594,2.896306
16,0.008009000,56461,3528,2.843081
17,0.008510000,41658,2603,2.097679
18,0.009009000,21813,1363,1.098389
19,0.009509000,8722,545,0.439194
20,0.010008000,9794,612,0.493175
21,0.010514000,24806,1550,1.249100
22,0.011014000,44458,2778,2.238672
23,0.011513000,57502,3593,2.895500
24,0.012013000,56381,3523,2.839052
25,0.012512000,41594,2599,2.094456
26,0.013012000,21797,1362,1.097583
27,0.013511000,8722,545,0.439194
28,0.014010000,9842,615,0.495592
29,0.014511000,24646,1540,1.241044
30,0.015011000,44426,2776,2.237061
31,0.015510000,57518,3594,2.896306
32,0.016010000,56397,3524,2.839858
33,0.016510000,41690,2605,2.099290
34,0.017010000,21845,1365,1.100000
35,0.017510000,8722,545,0.439194
36,0.018010000,9858,616,0.496397
37,0.018510000,24582,1536,1.237821
38,0.019009000,44362,2772,2.233838
39,0.019508000,57534,3595,2.897112
40,0.020008000,56461,3528,2.843081
41,0.020514000,41514,2594,2.090428
42,0.021014000,21717,1357,1.093555
43,0.021513000,8674,542,0.436777
44,0.022013000,9890,618,0.498009
45,0.022513000,24630,1539,1.240238
46,0.023013000,44458,2778,2.238672
47,0.023512000,57550,3596,2.897917
48,0.024012000,56397,3524,2.839858
49,0.024511000,41610,2600,2.095262
50,0.025011000,21861,1366,1.100806
51,0.025511000,8706,544,0.438389
52,0.026010000,9842,615,0.495592
53,0.026509000,24614,1538,1.239432
54,0.027009000,44378,2773,2.234644
55,0.027510000,57582,3598,2.899528
56,0.028009000,56493,3530,2.844692
57,0.028508000,41802,2612,2.104930
58,0.029014000,21781,1361,1.096777
59,0.029508000,8786,549,0.442417
60,0.030014000,9858,616,0.496397
61,0.030508000,24501,1531,1.233742
62,0.031008000,44234,2764,2.227393
63,0.031514000,57598,3599,2.900334
64,0.032014000,56317,3519,2.835830
65,0.032513000,41610,2600,2.095262
66,0.033013000,21765,1360,1.095972
67,0.033513000,8722,545,0.439194
68,0.034012000,9858,616,0.496397
69,0.034512000,24726,1545,1.245072
70,0.035012000,44426,2776,2.237061
71,0.035511000,57518,3594,2.896306
72,0.036011000,56349,3521,2.837441
73,0.036511000,41706,2606,2.100096
74,0.037011000,21829,1364,1.099194
75,0.037510000,8658,541,0.435972
76,0.038010000,9762,610,0.491563
77,0.038510000,24614,1538,1.239432
78,0.039010000,44394,2774,2.235450
79,0.039509000,57550,3596,2.897917
80,0.040009000,56477,3529,2.843887
81,0.040509000,41802,2612,2.104930
82,0.041008000,21941,1371,1.104834
83,0.041509000,8722,545,0.439194
84,0.042009000,9826,614,0.494786
85,0.042508000,24533,1533,1.235354
86,0.043008000,44362,2772,2.233838
87,0.043514000,57566,3597,2.898723
88,0.044013000,56333,3520,2.836635
89,0.044512000,41562,2597,2.092845
90,0.045013000,21749,1359,1.095166
91,0.045513000,8562,535,0.431138
92,0.046013000,9810,613,0.493980
93,0.046512000,24662,1541,1.241849
94,0.047012000,44442,2777,2.237867
95,0.047512000,57566,3597,2.898723
96,0.048011000,56397,3524,2.839858
97,0.048511000,41722,2607,2.100902
98,0.049010000,21893,1368,1.102417
99,0.049509000,8722,545,0.439194
100,0.050009000,9826,614,0.494786
101,0.050509000,24598,1537,1.238627
102,0.051009000,44362,2772,2.233838
103,0.051508000,57486,3592,2.894694
104,0.052014000,56381,3523,2.839052
105,0.052514000,41530,2595,2.091234
106,0.053013000,21717,1357,1.093555
107,0.053513000,8594,537,0.432749
108,0.054013000,9858,616,0.496397
109,0.054512000,24630,1539,1.240238
110,0.055013000,44490,2780,2.240284
111,0.055511000,57550,3596,2.897917
112,0.056011000,56381,3523,2.839052
113,0.056510000,41674,2604,2.098485
114,0.057010000,21893,1368,1.102417
115,0.057511000,8706,544,0.438389
116,0.058011000,9794,612,0.493175
117,0.058510000,24630,1539,1.240238
118,0.059011000,44378,2773,2.234644
119,0.059510000,57550,3596,2.897917
120,0.060010000,56445,3527,2.842275
121,0.060510000,41738,2608,2.101708
122,0.061010000,21941,1371,1.104834
123,0.061510000,8722,545,0.439194
124,0.062010000,9762,610,0.491563
125,0.062510000,24582,1536,1.237821
126,0.063010000,44362,2772,2.233838
127,0.063510000,57534,3595,2.897112
